Title,Acronym,DblpSeries,has CORE2026 Rank,Field,field_of_research_1,field_of_research_2,field_of_research_3,has CORE2023 Rank,has CORE2021 Rank,has CORE2020 Rank,has CORE2018 Rank,has CORE2017 Rank,has CORE2014 Rank,has CORE2013 Rank,has CORE2010 Rank,has CORE2008 Rank
1st International Conference on Building Energy and Environment,COBEE,,,"Building†, , ",Building†,,,,,,,,,,,
1st International Conference on Engineering Management,ICEM,,,"Engineering†, , ",Engineering†,,,,,,,,,,,
2008 International Conference on Biomedical Robotics and Biomechatronics,BIO ROB,,,"Biomedical Engineering †, , ",Biomedical Engineering †,,,,,,,,,,B,
3-D Digital Imaging and Modelling,3DIM,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
A Satellite workshop on Formal Approaches to Testing of Software,FATES,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,C
AAAI Conference on Human Computation and Crowdsourcing,HCOMP,hcomp,B,"Human-centred computing, Data management and data science, ",Human-centred computing,Data management and data science,,B,B,,,,,,,
"AAAI/ACM Conference on AI, Ethics, and Society",AIES,aies,C,"Human-centred computing, Artificial intelligence, Machine learning",Human-centred computing,Artificial intelligence,Machine learning,,,,,,,,,
AAEE - Annual Conference of Australasian Association for Engineering Education,,,,"Engineering†, , ",Engineering†,,,,,,,,,,B,
"ACIS Conference on Software Engineering Research, Management and Applications",SERA,sera,C,"Software engineering, , ",Software engineering,,,C,C,C,C,C,C,C,C,
ACM Annual Computer Science Conference,CSC,,,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,,,,,C,C,C,C,C,
"ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",SIGCOMM,sigcomm,A*,"Distributed computing and systems software, , ",Distributed computing and systems software,,,A*,A*,A*,A*,A*,A*,A*,A,A*
ACM Conference on Computer Supported Cooperative Work,CSCW,cscw,A,"Human-centred computing, , ",Human-centred computing,,,A,A,A,A,A,A,A,A,A
ACM Conference on Computer and Communications Security,CCS,ccs,A*,"Cybersecurity and privacy, , ",Cybersecurity and privacy,Distributed Computing†,Communications Technologies†,A*,A*,A*,A*,A*,A*,A*,A,A*
ACM Conference on Digital Libraries,JCDL,jcdl,,"Information Systems†, , ",Information Systems†,,,,,,A*,A*,A*,A*,,A*
ACM Conference on Economics and Computation,EC,sigecom,A*,"Artificial intelligence, Theory of computation, ",Artificial intelligence,Theory of computation,Computation Theory and Mathematics†,A*,A*,A*,A*,B,B,B,B,A
ACM Conference on Embedded Networked Sensor Systems,SENSYS,sensys,unranked: merged,"Distributed computing and systems software, , ",Distributed computing and systems software,Computer Hardware†,,A*,A*,A*,A*,A*,A*,A*,A,A*
ACM Conference on Hypertext and Social Media,Hypertext,ht,,"Distributed Computing†, Information Systems†, ",Distributed Computing†,Information Systems†,,,,,A,A,A,A,A,A
ACM Conference on Learning @ Scale,L@S,lats,B,"Applied computing, Machine learning, CSE - Computer Systems Engineering",Applied computing,Machine learning,CSE - Computer Systems Engineering,,,,,,,,,
ACM Conference on Object Oriented Programming Systems Languages and Applications,OOPSLA,oopsla,A,"Software engineering, , ",Software engineering,,,A,A,A*,A*,A*,A*,A*,A,A*
ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,wisec,B,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,B,,,,,,,,
ACM Creativity and Cognition,CC,,,"Design Practice and Management†, , ",Design Practice and Management†,,,,,,,,,,A,
ACM Digital Rights Management Workshop,DRM,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
ACM Information Technology Education,SIGITE,sigite,National: USA,"Human-centred computing, , ",Human-centred computing,,,National: USA,National: USA,National: USA,C,C,C,C,C,
ACM Int'l Symposium on Field Programmable Gate Arrays,FPGA,fpga,A,"CSE - Computer Systems Engineering, , ",CSE - Computer Systems Engineering,,,TBR,,,,,,,,
"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,,C,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,,C,B,B,B,B,B,B,B,
ACM International Conference on Advances in Geographic Information Systems,SIGSPATIAL,gis,A,"Applied computing, Machine learning, Data management and data science",Applied computing,Machine learning,Data management and data science,A,A,National: USA,A,B,B,B,B,
ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,conext,A,"Distributed computing and systems software, , ",Distributed computing and systems software,,,A,A,A,A,A,A,A,A,
ACM International Conference on Information and Knowledge Management,CIKM,cikm,A,"Data management and data science, Artificial intelligence, ",Data management and data science,Artificial intelligence,Library and Information Studies†,A,A,A,A,A,A,A,A,A
ACM International Conference on Interactive Media Experiences,IMX,tvx,C,"Human-centred computing, Graphics, augmented reality and games, Computer vision and multimedia computation",Human-centred computing,"Graphics, augmented reality and games",Computer vision and multimedia computation,,,,,,,,,
ACM International Conference on Interactive Surfaces and Spaces (was International Workshop on Horizontal Interactive Human-Computer Systems: Tabletop),ISS,tabletop,Journal Published,"Human-centred computing, , ",Human-centred computing,,,Journal Published,Journal Published,A,A,A,A,B,B,
ACM International Conference on Knowledge Discovery and Data Mining,KDD,kdd,A*,"Data management and data science, Machine learning, ",Data management and data science,Machine learning,,A*,A*,A*,A*,A*,A*,A*,A,A*
ACM International Conference on Mobile Computing and Networking,MOBICOM,mobicom,A*,"Distributed computing and systems software, , ",Distributed computing and systems software,,,A*,A*,A*,A*,A*,A*,A*,A,A*
ACM International Conference on Multimedia in Asia,MM_Asia,mmasia,C,"Computer vision and multimedia computation, Data management and data science, ",Computer vision and multimedia computation,Data management and data science,,,,,,,,,,
ACM International Conference on Recommender Systems,RecSys,recsys,A,"Data management and data science, , ",Data management and data science,,,A,A,B,B,B,B,B,B,
ACM International Conference on Research and Development in Information Retrieval,SIGIR,sigir,A*,"Data management and data science, , ",Data management and data science,Library and Information Studies†,,A*,A*,A*,A*,A*,A*,A*,A,A*
ACM International Conference on Supercomputing,ICS,ics,A,"CSE - Computer Systems Engineering, Distributed computing and systems software, ",CSE - Computer Systems Engineering,Distributed computing and systems software,,A,A,A,A,A,A,A,A,A
ACM International Conference on Systems for Energy-Efficient Built Environments,BuildSys,,,"Distributed Computing†, Computer Hardware†, ",Distributed Computing†,Computer Hardware†,,,,,A,,,,,
ACM International Conference on Web Search and Data Mining,WSDM,wsdm,A,"Data management and data science, Machine learning, ",Data management and data science,Machine learning,Library and Information Studies†,A,A*,A*,A*,A*,A*,B,B,
"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,sigsoft,A*,"Software engineering, , ",Software engineering,,,A*,,,A*,B,A,A,A,A
ACM International Joint Conference on Pervasive and Ubiquitous Computing (PERVASIVE and UbiComp combined from 2013),UbiComp,huc,journal published,"Human-centred computing, , ",Human-centred computing,,,journal published,journal published,journal published,A*,A*,A*,A*,A,A*
ACM International Symposium on Computer Architecture,ISCA,isca,A*,"CSE - Computer Systems Engineering, Distributed computing and systems software, Software engineering",CSE - Computer Systems Engineering,Distributed computing and systems software,Software engineering,A*,A*,A*,A*,A*,A*,A*,A,A*
ACM International Symposium on High Performance Distributed Computing,HPDC,hpdc,A,"Distributed computing and systems software, CSE - Computer Systems Engineering, ",Distributed computing and systems software,CSE - Computer Systems Engineering,,A,A,A,A,A,A,A,A,A
ACM International Wireless Communications and Mobile Computing Conference,IWCMC,iwcmc,B,"Distributed computing and systems software, , ",Distributed computing and systems software,Computer Hardware†,,B,B,B,B,B,B,B,B,B
ACM International Workshop On Multimedia Databases,MMDB,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,
ACM International Workshop on. Mobility Management and Wireless Access,MobiWac,,,"Communications Technologies†, , ",Communications Technologies†,,,,,,,,,,B,
ACM Multimedia,ACMMM,mm,A*,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,Design Practice and Management†,,A*,A*,A*,A*,A*,A*,A*,A,A*
ACM Multimedia Systems Conference,MMSys,mmsys,A,"Distributed computing and systems software, Computer vision and multimedia computation, Graphics, augmented reality and games",Distributed computing and systems software,Computer vision and multimedia computation,"Graphics, augmented reality and games",,,,,,,,,
ACM SIG International Conference on Computer Graphics and Interactive Techniques,SIGGRAPH,siggraph,A*,"Graphics, augmented reality and games, Computer vision and multimedia computation, Human-centred computing","Graphics, augmented reality and games",Computer vision and multimedia computation,Human-centred computing,A*,A*,A*,A*,A*,A*,A*,A,A*
ACM SIGCHI_NZ Conference on Human-Computer Interaction,SIGCHI-NZ,,,"Information Systems†, , ",Information Systems†,,,,,,Australasian,,,,C,
ACM SIGCOMM Internet Measurement Conference,ACM IMC,,,"Communications Technologies†, , ",Communications Technologies†,,,,,,,,,,A,
ACM SIGGRAPH conference on Motion Interaction and Games,MIG,mig,C,"Graphics, augmented reality and games, Machine learning, ","Graphics, augmented reality and games",Machine learning,,,,,,,,,,
ACM SIGGRAPH/Eurographics Symposium on Computer Animation,SCA,sca,B,"Graphics, augmented reality and games, Computer vision and multimedia computation, ","Graphics, augmented reality and games",Computer vision and multimedia computation,,B,B,B,B,B,B,B,B,A
ACM SIGIR Conference on Human Information Interaction And Retrieval,CHIIR,chiir,B,"Data management and data science, Human-centred computing, ",Data management and data science,Human-centred computing,,,,,,,,,,
ACM SIGIR Workshop on XML and Information Retrieval,SIGIR/XML,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,
ACM SIGMIS Computers and People Research,ACM-SIGMIS CPR,sigcpr,,"Information Systems†, , ",Information Systems†,,,,,,B,B,B,B,B,
"ACM SIGMOBILE International Conference on Mobile Systems, Applications and Services",Mobisys,mobisys,A,"Distributed computing and systems software, , ",Distributed computing and systems software,,,A,B,B,B,B,B,B,B,A
ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems,PODS,pods,A*,"Data management and data science, , ",Data management and data science,,,A*,A*,A*,A*,A*,A*,A*,A,A*
ACM SIGOPS European Workshops,SIGOPS-EW,,,"Computer Software†, , ",Computer Software†,,,,,,,,,,C,B
ACM SIGOPS Symposium on Operating Systems Principles,SOSP,sosp,A*,"Distributed computing and systems software, , ",Distributed computing and systems software,,,A*,A*,A*,A*,A*,A*,A*,A,A*
"ACM SIGPLAN Conference on Languages, Compilers and Tools for Embedded Systems",LCTES,lctrts,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,,B,B,A,A,A,A,A,A,A
ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,PEPM,pepm,C,"Software engineering, , ",Software engineering,,,C,C,B,B,B,B,B,B,A
ACM SIGPLAN Workshop on Types in Language Design and Implementation (was TIC),TLDI,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
ACM SIGSIM Conference on Principles of Advanced Discrete Simulation (was Parallel and Distributed Simulation),PADS,pads,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,,B,B,B,B,B,B,B,B,A
ACM SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,PASTE,,,"Computer Software†, , ",Computer Software†,,,,,,,B,B,B,B,B
ACM SIGUCCS Conference on User Services,SIGUCCS,siguccs,National: USA,"Applied computing, , ",Applied computing,,,National: USA,National: USA,National: USA,C,C,C,C,C,
ACM Special Interest Group on Computer Science Education Conference,SIGCSE,sigcse,A,"Human-centred computing, , ",Human-centred computing,,,A,A,A,A,A,A,A,A,A
ACM Special Interest Group on Management of Data Conference,SIGMOD,sigmod,A*,"Data management and data science, , ",Data management and data science,,,A*,A*,A*,A*,A*,A*,A*,A,A*
ACM Special Interest Group on Supporting Group Work (was SIGGRoup),Group,group,B,"Human-centred computing, , ",Human-centred computing,,,B,,,B,B,B,B,B,A
"ACM Symposium on Access Control Models and Technologies (previously ACM Workshop on Role-Based Access Control, RBAC, changed in 2000)",SACMAT,sacmat,C,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,C,C,C,C,C,C,C,C,
ACM Symposium on Applied Computing,SAC,sac,Multiconference,"Applied computing, , ",Applied computing,,,Multiconference,Multiconference,B,B,B,B,B,B,B
ACM Symposium on Applied Perception,SAP,apgv,B,"Human-centred computing, Graphics, augmented reality and games, ",Human-centred computing,"Graphics, augmented reality and games",,,,,,,,,,
ACM Symposium on Document Engineering,DocEng,doceng,B,"Data management and data science, , ",Data management and data science,,,B,B,B,B,B,B,A,,A
ACM Symposium on Mobile Ad Hoc Networking and Computing,MOBIHOC,mobihoc,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,,A,A,A,A,A,A,A,A,A
ACM Symposium on Principles of Database Systems,SPDS,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,C
ACM Symposium on Principles of Distributed Computing,PODC,podc,A*,"Distributed computing and systems software, , ",Distributed computing and systems software,,,A*,A*,A*,A*,A*,A*,A*,A,A*
ACM Symposium on Software Reusability,SSR,ssr,,"Computer Software†, , ",Computer Software†,,,,,,A,A,A,A,,A
ACM Symposium on Solid and Physical Modelling,SPM,,C,"Graphics, augmented reality and games, Computer vision and multimedia computation, ","Graphics, augmented reality and games",Computer vision and multimedia computation,,C,B,B,B,B,B,B,B,
ACM Symposium on Theory of Computing,STOC,stoc,A*,"Theory of computation, , ",Theory of computation,,,A*,A*,A*,A*,A*,A*,A*,A,A*
ACM Symposium on User Interface Software and Technology,UIST,uist,A*,"Human-centred computing, , ",Human-centred computing,,,A*,A*,A,A,A,A,A,A,A
ACM Virtual Reality Software and Technology,VRST,vrst,B,"Graphics, augmented reality and games, , ","Graphics, augmented reality and games",,,A,A,A,A,A,A,A,A,
ACM Workshop on Formal Methods in Security Engineering: From Specifications to Code,FMSE,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
ACM Workshop on Hot Topics in Networks,HOTNETS,hotnets,National: USA,"Distributed computing and systems software, , ",Distributed computing and systems software,,,National: USA,National: USA,National: USA,A,A,A,A,A,A
ACM Workshop on Hot Topics in Software Upgrades,HotSWUp,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
ACM Workshop on Role Based Access Control (now SACMAT),RBAC,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,,,C,C,C,
ACM Workshop on Scalable Trusted Computing,STC,,,"Computer Software†, , ",Computer Software†,,,,,,B,B,B,B,B,
ACM Workshop on Secure Web Services,SWS,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
ACM Workshop on Web Information and Data Management,WIDM,,,"Information Systems†, , ",Information Systems†,,,,,,B,B,B,B,B,C
ACM-SIGACT Symposium on Principles of Programming Languages,POPL,popl,A*,"Software engineering, , ",Software engineering,,,A*,A*,A*,A*,A*,A*,A*,A,A*
ACM-SIGPLAN Conference on Programming Language Design and Implementation,PLDI,pldi,A*,"Software engineering, , ",Software engineering,,,A*,A*,A*,A*,A*,A*,A*,A,A*
ACM-SIGRAPH Interactive 3D Graphics and Games,I3DG,si3d,B,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,,B,B,B,B,B,B,A*,A,A*
ACM/IEEE International Conference on Distributed Smart Cameras,ICDSC,icdsc,,"Distributed computing and systems software, , ",Distributed computing and systems software,,,,B,B,B,B,B,B,B,
ACM/IEEE International Conference on Human-Robot Interaction,HRI,hri,A*,"Human-centred computing, Artificial intelligence, ",Human-centred computing,Artificial intelligence,,A,,,,,,,,
"ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems",MSWIM,mswim,A,"Distributed computing and systems software, , ",Distributed computing and systems software,,,A,A,A,A,A,A,A,A,A
ACM/IEEE Symposium on Edge Computing,SEC,ieeesec,unranked,"Distributed computing and systems software, , ",Distributed computing and systems software,,,unranked,unranked,,,,,,,
ACM/IFIP/USENIX International Middleware Conference,Middleware,middleware,A,"Distributed computing and systems software, , ",Distributed computing and systems software,,,A,A,A,A,A,A,A,A,A
ACM/SIAM Symposium on Discrete Algorithms,SODA,soda,A*,"Theory of computation, , ",Theory of computation,,,A*,A*,A*,A*,A*,A*,A*,A,A*
ACM/SPEC International Conference on Performance Engineering,ICPE,wosp,B,"Software engineering, Distributed computing and systems software, ",Software engineering,Distributed computing and systems software,,B,B,,,,,,,
ACM/SPIE Multimedia Computing and Networking,MMCN,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,A,A,A,A,A,A
ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,aiccsa,C,"Information and Computing Sciences, , ",Information and Computing Sciences,Built Environment and Design†,,C,C,C,C,C,C,C,C,
AISB Convention (Society for the Study of Artificial Intelligence and Simulation of Behaviour),AISB,,,"Design Practice and Management†, , ",Design Practice and Management†,,,,,,,,,,B,
ASIAN Symposium on Programming Languages and Systems,APLAS,aplas,B,"Software engineering, , ",Software engineering,,,B,B,B,B,B,B,B,B,B
Accelerating excellence in the built environment World Conference,WCAEBE,,,"Building†, , ",Building†,,,,,,,,,,C,
Accounting and Finance Association of Australia and New Zealand Conference,AFAANZ,,,"Information Systems†, , ",Information Systems†,,,,,,Australasian,Australasian,Australasian,Australasian,C,
Active and Real-Time Database Systems,ARTDB,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,C
Advanced Concepts for Intelligent Vision Systems,ACIVS,acivs,B,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,,B,B,B,B,B,B,B,B,B
Advanced Course on Artificial Intelligence,ACAI,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
Advanced Research in VLSI,ARVLSI,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,C,C,C,C,C,C
Advanced Visual Interfaces,AVI,avi,B,"Human-centred computing, , ",Human-centred computing,,,B,B,B,B,B,B,B,B,
Advances in Cryptology,CRYPTO,crypto,A*,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,A*,A*,A*,A*,A*,A*,A*,A,A*
Advances in Financial Technologies,AFT,aft,B,"Distributed computing and systems software, Cybersecurity and privacy, ",Distributed computing and systems software,Cybersecurity and privacy,,,,,,,,,,
Advances in Information Systems,ADVIS,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,
Advances in Intelligent Systems,AIS,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,C
Advances in Modal Logic,AiML,aiml,B,"Theory of computation, , ",Theory of computation,,,B,B,A,A,A,A,A,A,A
Advances in Neural Information Processing Systems (was NIPS),NeurIPS,nips,A*,"Machine learning, , ",Machine learning,,,A*,A*,A*,A*,A*,A*,A*,A,A*
Advances in the Theory of Computing,AITC,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
Agent-Oriented Information Systems Workshop,AOIS,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,,,B,B,B,B
Agent-Oriented Software Engineering Workshop (merged into EMAS in 2013),AOSE,,,"Artificial Intelligence and Image Processing†, Computer Software†, ",Artificial Intelligence and Image Processing†,Computer Software†,,,,,,,,,C,B
Algebraic Methodology and Software Technology,AMAST,,,"Computation Theory and Mathematics†, Computer Software†, ",Computation Theory and Mathematics†,Computer Software†,,,,,C,C,C,C,C,C
Algorithmic Learning Theory,ALT,alt,B,"Machine learning, , ",Machine learning,,,B,B,B,B,B,B,A,A,
Algorithms and Complexity in Durham,ACID,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,L
Algorithms and Data Structures Symposium (was Workshop on Algorithms and Data Structures),WADS,wads,B,"Theory of computation, , ",Theory of computation,,,B,B,B,B,B,B,A,A,A
Algorithms and Experiments,ALEX,,,", , ",,,,,,,B,B,B,B,,B
Ambient Intelligence Developments,Aml.d,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
American Association of Cost Engineers Annual Meeting,AACE,,,"Building†, , ",Building†,,,,,,,,,,A,
American Federation of Information Processing Societies,AFIPS,,,"Artificial Intelligence and Image Processing†, Information Systems†, Computation Theory and Mathematics†",Artificial Intelligence and Image Processing†,Information Systems†,Computation Theory and Mathematics†,,,,A,,,,C,
American Medical Informatics Annual Fall Symposium,AMIA,amia,National: USA,"Applied computing, , ",Applied computing,,,National: USA,National: USA,National: USA,A,A,A,A,,A
"American Society for Heating, Refrigeration and Air Conditioning",ASHRAE,,,"Building†, , ",Building†,,,,,,,,,,A,
Americas Conference on Information Systems,AMCIS,amcis,,"Information Systems†, , ",Information Systems†,,,,,,A,A,A,A,A,B
Annual Computer Security Applications Conference,ACSAC,acsac,A,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,A,National: usa,National: usa,A,A,A,A,A,
Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education,ASCILITE,,,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,,,,,Australasian,Australasian,Australasian,Australasian,C,L
Annual Conference of the International Academy for Information Management,IAIM,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,C
Annual Conference of the International Speech Communication Association (was Eurospeech),Interspeech,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,,,A,A,A,
Annual Conference on Computer Science Logic,CSL,csl,B,"Theory of computation, , ",Theory of computation,,,B,B,B,B,B,B,B,,B
Annual Conference on Evolutionary Programming,EP,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,C
Annual Conference on Innovation and Technology in Computer Science Education,ITiCSE,iticse,B,"Human-centred computing, , ",Human-centred computing,,,B,A,A,A,A,A,A,A,A
"Annual Conference on Privacy, Security and Trust",PST,pst,C,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,C,C,C,C,C,C,C,C,
"Annual Convention for Survey, Mapping and Remote Sensing",RS,,,"Geomatic Engineering †, , ",Geomatic Engineering †,,,,,,C,C,C,C,C,C
Annual Fall Workshop on Computational Geometry,CGW,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
"Annual IASTED International Conference on Networks, Parallel and Distributed Processing and Applications",NPDP,,,", , ",,,,,,,,,C,C,,C
Annual International Conference on Ada,TRI-Ada,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
Annual International Workshop on Presence,ISPR,,C,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,,C,B,B,B,B,B,B,B,
Annual Meeting of the Cognitive Science Society,CogSci,cogsci,B,"Artificial intelligence, , ",Artificial intelligence,,,B,A,A,A,A,A,A,A,A
Annual Meeting of the Decision Sciences Institute,DSI,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,C
Annual Meeting of the Special Interest Group on Discourse and Dialog,SIGdial,sigdial,B,"Artificial intelligence, , ",Artificial intelligence,,,B,B,C,C,C,C,C,C,
Annual PKI R&D Workshop,PKI,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
Annual PPIG Workshop,PPIG,ppig,,"Information Systems†, , ",Information Systems†,,,,,,B,B,B,B,B,B
Annual Simulation Symposium,ANSS,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,B,B,C,C,C,
Annual conference of American Society for Information Science and Technology,ASIS&T,,,", , ",,,,,,,,,,,,A
AoM Organizational Communication and Information Systems,OCIS,,,"Information Systems†, , ",Information Systems†,,,,,,A,A,A,A,A,
Apple University Consortium Academic and Developers Conference,AUCADC,,,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,,,,,C,C,C,C,C,L
Application of Computers and Operations Research in the Minerals Industries,APCOMin,,,"Geomatic Engineering †, Resources Engineering and Extractive Metallurgy†, ",Geomatic Engineering †,Resources Engineering and Extractive Metallurgy†,,,,,A,A,A,A,A,C
Application of Concurrency to System Design,ACSD,acsd,,"Distributed computing and systems software, , ",Distributed computing and systems software,,,,B,B,B,B,B,B,B,B
Applications of Information Visualization,IV-App,,C,"Human-centred computing, , ",Human-centred computing,,,C,C,C,C,C,C,C,C,
Applications of Natural Language to Data Bases,NLDB,nldb,C,"Artificial intelligence, Data management and data science, ",Artificial intelligence,Data management and data science,,C,C,C,C,C,C,C,C,C
Applied Computing Conference,ACC,,C,"Applied computing, , ",Applied computing,,,C,C,C,C,C,C,C,C,
Applied Perception in Graphics and Visualization,APGV,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
Architectural Support for Programming Languages and Operating Systems,ASPLOS,asplos,A*,"Software engineering, Distributed computing and systems software, ",Software engineering,Distributed computing and systems software,,A*,A*,A*,A*,A*,A*,A*,A,A*
Argentine Symposium on Artificial Intelligence,ASAI,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,,C,C,C,C,
Argentine Workshop on Theoretical Informatics,AWTI,,,", , ",,,,,,,,,,,,B
Artificial Intelligence Applications and Innovations,AIAI,aiai,National/Regional,"Applied computing, Artificial intelligence, ",Applied computing,Artificial intelligence,,C,C,Regional,Regional,,,,,
Artificial Intelligence and Applications Conference,AIA,,,", , ",,,,,,,C,C,C,C,,C
Artificial Intelligence in Knowledge Management,AIKM,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
Artificial Intelligence in Medicine,AIIM,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,A,A,A,A,A,A
Artificial Neural Networks in Engineering Conference,ANNIE,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,B,B,B,B,B,B
"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,artsit,C,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,,C,C,C,C,C,C,C,C,
"Asia Conference on Information, Computer and Communications Security",AsiaCCS,asiaccs,A,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,A,A,B,B,B,B,B,B,
Asia Information Retrieval Symposium,AIRS,airs,,"Data management and data science, , ",Data management and data science,Library and Information Studies†,,,C,C,C,C,C,C,C,
Asia International Conference on Modelling and Simulation,AMS,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
Asia Pacific Association for Medical Informatics Conference,APAMI,,,", , ",,,,,,,,,,,,B
Asia Pacific Conference on Communications,APCC,apcc,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,,C,C,B,B,B,B,B,B,B
Asia Pacific Conference on Hardware Description Languages (was Asia Pacific CHipDesign Languages),APCHDL,,,"Computer Hardware†, , ",Computer Hardware†,,,,,,C,C,C,C,C,L
Asia Pacific Decision Science Institute Conference,APDSI,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,L
Asia Pacific Industrial Engineering and Management Systems and Chinese Institute of Industrial Engineers Conference,APIEMS CIIEC,,,"Design Practice and Management†, , ",Design Practice and Management†,,,,,,,,,,C,
Asia Pacific Research Symposium on Accounting Information Systems,APRSAIS,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,
Asia Pacific Symposium on Intelligent and Evolutionary Systems (was Australia-Japan Joint Workshop on Intelligent and Evolutionary Systems),IES,,C,"Artificial intelligence, , ",Artificial intelligence,,,C,C,C,C,C,C,C,C,L
Asia and South Pacific Design Automation Conference,ASPDAC,aspdac,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,,C,C,C,C,C,C,C,C,L
