Title,Acronym,DblpSeries,has CORE2023 Rank,Field,field_of_research_1,field_of_research_2,field_of_research_3
Human System Interaction,HSI,hsi,C,"Human-centred computing, , ",Human-centred computing,,
Human-Agent Interaction,HAI,hai,B,"Human-centred computing, , ",Human-centred computing,,
IADIS International Conference Applied Computing,IADIS AC,N/A,C,"Applied computing, , ",Applied computing,,
IberoAmerican Congress on Pattern Recognition,CIARP,ciarp,C,"Computer vision and multimedia computation, Machine learning, ",Computer vision and multimedia computation,Machine learning,
"ICT in Education, Research, and Industrial Applications",ICTERI,icteri,National: Ukraine,"Applied computing, Data management and data science, ",Applied computing,Data management and data science,
IEEE Automatic Speech Recognition and Understanding Workshop,ASRU,asru,C,"Artificial intelligence, , ",Artificial intelligence,,
IEEE Bioinformatics and Bioengineering,BIBE,bibe,C,"Applied computing, , ",Applied computing,,
IEEE Computer Security Foundations Symposium (was CSFW),CSF,csfw,A,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
IEEE Conference of the Open Innovations Association FRUCT,FRUCT,fruct,Regional,"Distributed computing and systems software, Theory of computation, ",Distributed computing and systems software,Theory of computation,
IEEE Conference on Cognitive and Computational Aspects of Situation Management,CogSIMA,cogsima,National:USA,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE Conference on Computational Complexity,CCC,coco,A,"Theory of computation, , ",Theory of computation,,
IEEE Conference on Computer Vision and Pattern Recognition,CVPR,cvpr,A*,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,
IEEE Conference on Local Computer Networks,LCN,lcn,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE Conference on Mass Storage Systems and Technologies,MSST,mss,National: USA,"Distributed computing and systems software, , ",Distributed computing and systems software,,
"IEEE Conference on Systems, Man and Cybernetics",SMC,smc,B,"Human-centred computing, , ",Human-centred computing,,
IEEE Conference on Virtual Reality and 3D User Interfaces,VR,vr,A*,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,
IEEE Congress on Evolutionary Computation,CEC,cec,B,"Artificial intelligence, , ",Artificial intelligence,,
IEEE Congress on Services,SERVICES,services,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE Consumer Communications and Networking Conference,IEEE CCNC,ccnc,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE European Symposium on Security and Privacy,EuroS&P,eurosp,A,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
IEEE European Test Symposium,ETS,ets,TBR,"CSE - Computer Systems Engineering, , ",CSE - Computer Systems Engineering,,
IEEE Global Telecommunications Conference,GLOBECOM,globecom,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE Industrial Electronics Society,IECON,iecon,TBR,"CSE - Computer Systems Engineering, , ",CSE - Computer Systems Engineering,,
IEEE Industry Applications Society Annual Conference,IAS,iasam,National: USA,"Applied computing, , ",Applied computing,,
"IEEE International Conference on Acoustics, Speech and Signal Processing",ICASSP,icassp,B,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,
IEEE International Conference on Advanced Learning Technologies,ICALT,icalt,B,"Applied computing, Human-centred computing, ",Applied computing,Human-centred computing,
IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,avss,B,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,
IEEE International Conference on Automatic Face and Gesture Recognition,FG,fgr,B,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,
IEEE International Conference on Automation Science and Engineering,CASE,case,TBR,"CSE - Computer Systems Engineering, , ",CSE - Computer Systems Engineering,,
IEEE International Conference on Big Data,BigData,bigdataconf,B,"Data management and data science, Machine learning, Artificial intelligence",Data management and data science,Machine learning,Artificial intelligence
IEEE International Conference on Blockchain and Cryptocurrency,ICBC,icbc2,C,"Distributed computing and systems software, Cybersecurity and privacy, Software engineering",Distributed computing and systems software,Cybersecurity and privacy,Software engineering
IEEE International Conference on Cloud Computing,CLOUD,IEEEcloud,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE International Conference on Cloud Computing in Emerging Markets,CCEM,N/A,National:India,"Distributed computing and systems software, Artificial intelligence, Data management and data science",Distributed computing and systems software,Artificial intelligence,Data management and data science
IEEE International Conference on Cloud Computing Technology and Science (International Conference on Cloud Computing pre 2010),CloudCom,cloudcom,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE International Conference on Cluster Computing,CLUSTER,cluster,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE International Conference on Cognitive Informatics,ICCI,IEEEicci,C,"Artificial intelligence, Machine learning, ",Artificial intelligence,Machine learning,
IEEE International Conference on Computer and Information Technology,CIT,cit,C,"Information and Computing Sciences, , ",Information and Computing Sciences,,
IEEE International Conference on Computer Communications,INFOCOM,infocom,A*,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE International Conference on Computer Design,ICCD,iccd,TBR,"CSE - Computer Systems Engineering, , ",CSE - Computer Systems Engineering,,
IEEE International Conference on Computer Vision,ICCV,iccv,A*,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,
IEEE International Conference on Cybernetics and Intelligent Systems,CIS,N/A,C,"Artificial intelligence, , ",Artificial intelligence,,
IEEE International Conference on Data Mining,ICDM,icdm,A*,"Data management and data science, Machine learning, ",Data management and data science,Machine learning,
IEEE International Conference on Data Science and Advanced Analytics,DSAA,dsaa,B,"Data management and data science, Machine learning, ",Data management and data science,Machine learning,
IEEE International Conference on Data Science and Engineering,ICDSE,N/A,National:India,"Data management and data science, Machine learning, ",Data management and data science,Machine learning,
IEEE International Conference on Distributed Computing in Sensor Systems,DCOSS,dcoss,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE International Conference on Document Analysis and Recognition,ICDAR,icdar,A,"Data management and data science, , ",Data management and data science,,
IEEE International Conference on e-Science and Grid Computing,e-Science,eScience,B,"Distributed computing and systems software, Applied computing, Software engineering",Distributed computing and systems software,Applied computing,Software engineering
IEEE international conference on ehealth networking applications and services (was International Workshop on Enterprise Networking and Computing in Health Care Industry; changed 2006),HealthCom,healthcom,C,"Applied computing, , ",Applied computing,,
IEEE International Conference on Emerging Technologies and Factory Automation,ETFA,etfa,TBR,"CSE - Computer Systems Engineering, , ",CSE - Computer Systems Engineering,,
IEEE International Conference on Engineering of Complex Computer Systems,ICECCS,iceccs,B,"Software engineering, Distributed computing and systems software, ",Software engineering,Distributed computing and systems software,
IEEE International Conference on Fog and Edge Computing,ICFEC,icfec,C,"Distributed computing and systems software, Applied computing, ",Distributed computing and systems software,Applied computing,
IEEE International Conference on Fuzzy Systems,FUZZ-IEEE,fuzzIEEE,B,"Artificial intelligence, , ",Artificial intelligence,,
IEEE International Conference on Global Software Engineering,ICGSE,icgse,C,"Software engineering, , ",Software engineering,,
IEEE International Conference on High Performance Computing and Communications,HPCC,hpcc,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE International Conference on Image Processing,ICIP,icip,B,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,
IEEE International Conference on Industrial Informatics,INDIN,indin,TBR,"CSE - Computer Systems Engineering, , ",CSE - Computer Systems Engineering,,
IEEE International Conference on Information Reuse and Integration,IRI,iri,National: USA,"Data management and data science, Artificial intelligence, ",Data management and data science,Artificial intelligence,
IEEE International Conference on Intelligence and Security Informatics,ISI,isi,C,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
IEEE International Conference on Intelligent Computer Communication and Processing,ICCP,iccp2,National: Romania,"Artificial intelligence, , ",Artificial intelligence,,
IEEE International Conference on Intelligent Systems,IEEE IS,is,C,"Artificial intelligence, , ",Artificial intelligence,,
IEEE International Conference on Mobile Ad-hoc and Sensor Systems,MASS,mass,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE International Conference on Multimedia and Expo,ICME,icmcs,A,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,
IEEE International Conference on Pervasive Computing and Communications,PERCOM,percom,A*,"Human-centred computing, Distributed computing and systems software, ",Human-centred computing,Distributed computing and systems software,
"IEEE International Conference on Program Comprehension (previously IWPC, changed in 2006)",ICPC,iwpc,A,"Software engineering, , ",Software engineering,,
IEEE International Conference on Quantum Computing and Engineering,QCE,qce,TBR,"CSE - Computer Systems Engineering, , ",CSE - Computer Systems Engineering,,
IEEE International Conference on Robotics and Automation,ICRA,icra,A*,"Artificial intelligence, CSE - Computer Systems Engineering, ",Artificial intelligence,CSE - Computer Systems Engineering,
"IEEE International Conference on Sensing, Communication and Networking",SECON,secon,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
"IEEE International Conference on Software Analysis, Evolution and Reengineering",SANER,saner,A,"Software engineering, , ",Software engineering,,
"IEEE International Conference on Software Maintenance and Evolution (prior to 2014 was ICSM, IEEE International Conference on Software Maintenance)",ICSME,icsm,A,"Software engineering, , ",Software engineering,,
IEEE International Conference on Software Services Engineering (previously IEEE International Conference on Services Computing SCC),IEEE SSE,IEEEscc,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE International Conference on Visual Communications and Image Processing (was SPIE ... pre 2011),VCIP,vcip,C,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,
IEEE International Conference on Web Services,ICWS,icws,A,"Distributed computing and systems software, , ",Distributed computing and systems software,,
"IEEE International Conference on Wireless and Mobile Computing, Networking and Communications",WiMob,wimob,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE International Enterprise Distributed Object Computing Conference,EDOC,edoc,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE International Geoscience and Remote Sensing Symposium,IGARSS,igarss,C,"Applied computing, , ",Applied computing,,
IEEE International Joint Conference on Neural Networks,IJCNN,ijcnn,B,"Machine learning, , ",Machine learning,,
IEEE International Parallel and Distributed Processing Symposium (was IPPS and SPDP),IPDPS,ipps,A,"Distributed computing and systems software, CSE - Computer Systems Engineering, ",Distributed computing and systems software,CSE - Computer Systems Engineering,
IEEE International Performance Computing and Communications Conference,IPCCC,ipccc,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE International Requirements Engineering Conference,RE,re,A,"Software engineering, , ",Software engineering,,
IEEE International Scientific Conference on Informatics,Informatics,N/A,National:Slovakia,"Theory of computation, Software engineering, ",Theory of computation,Software engineering,
"IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks",WoWMoM,wowmom,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE International Symposium on Adaptive Dynamic Programming and Reinforcement Learning,IEEE ADPRL,N/A,C,"Machine learning, , ",Machine learning,,
IEEE International Symposium on Artificial Life,IEEE Alife,N/A,C,"Artificial intelligence, , ",Artificial intelligence,,
IEEE International Symposium on Circuits and Systems,ISCAS,iscas,TBR,"CSE - Computer Systems Engineering, , ",CSE - Computer Systems Engineering,,
"IEEE International Symposium on Cluster, Cloud and Grid Computing",CCGRID,ccgrid,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE International Symposium on Information Theory,ISIT,isit,B,"Information and Computing Sciences, , ",Information and Computing Sciences,,
IEEE International Symposium on Multimedia,ISM,ism,C,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,
IEEE International Symposium on Network Computing and Applications,NCA,nca,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE International Symposium on Parallel and Distributed Processing with Applications,ISPA,ispa,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE International Symposium on Performance Analysis of Systems and Software,ISPASS,ispass,B,"Software engineering, , ",Software engineering,,
IEEE International Symposium on Personal and Indoor Mobile Radio Conference,PIMRC,pimrc,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE International Symposium on Rapid System Prototyping (was IEEE Symposium on Rapid Prototyping),RSP,rsp,C,"Software engineering, , ",Software engineering,,
IEEE International Symposium on Real-Time Distributed Computing,ISORC,isorc,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE International Symposium on Wearable Computers,ISWC,iswc,Journal Published,"Human-centred computing, , ",Human-centred computing,,
IEEE International Test Conference,ITC,itc,TBR,"CSE - Computer Systems Engineering, , ",CSE - Computer Systems Engineering,,
IEEE International Working Conference on Mining Software Repositories,MSR,msr,A,"Software engineering, Data management and data science, ",Software engineering,Data management and data science,
IEEE International Working Conference on Software Visualisation,VISSOFT,vissoft,B,"Human-centred computing, Software engineering, ",Human-centred computing,Software engineering,
IEEE International Working Conference on Source Code Analysis and Manipulation,SCAM,scam,C,"Software engineering, , ",Software engineering,,
IEEE International Workshop on Quality of Service,IWQoS,iwqos,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE LAN/MAN Workshop,LANMAN,lanman,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE Network Operations and Management Symposium,NOMS,noms,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE Pacific Visualization Symposium (was APVIS),PacificVis,pacificvis,B,"Human-centred computing, , ",Human-centred computing,,
IEEE Real-Time and Embedded Technology and Applications Symposium,RTAS,rtas,A,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE Region 10 Conference,Tencon,tencon,C,"Information and Computing Sciences, , ",Information and Computing Sciences,,
IEEE Software Engineering Workshop,SEW,N/A,C,"Software engineering, , ",Software engineering,,
IEEE Swarm Intelligence Symposium,IEEE SIS,N/A,C,"Artificial intelligence, , ",Artificial intelligence,,
IEEE Symposium on Computational Intelligence and Data Mining,CIDM,N/A,C,"Data management and data science, Machine learning, ",Data management and data science,Machine learning,
IEEE Symposium on Computational Intelligence for Financial Engineering,IEEE CIFEr,cifer,C,"Applied computing, , ",Applied computing,,
IEEE Symposium on Computational intelligence for Multimedia Signal and Vision Processing,IEEE CIMSIVP,N/A,C,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,
IEEE Symposium on Computational Intelligence for Security and Defence Applications,IEEE CISDA,N/A,C,"Applied computing, , ",Applied computing,,
IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,CIBCB,cibcb,C,"Applied computing, , ",Applied computing,,
IEEE Symposium on Computational Intelligence in Control and Automation,IEEE CICA,N/A,C,"Artificial intelligence, , ",Artificial intelligence,,
IEEE Symposium on Computational Intelligence in Cyber Security,IEEE CICS,N/A,C,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
IEEE Symposium on Computer Arithmetic,ARITH,arith,C,"Theory of computation, , ",Theory of computation,,
IEEE Symposium on Computers and Communications,ISCC,iscc,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE Symposium on Field Programmable Custom Computing Machines,FCCM,fccm,B,"CSE - Computer Systems Engineering, Distributed computing and systems software, ",CSE - Computer Systems Engineering,Distributed computing and systems software,
IEEE Symposium on Foundations of Computer Science,FOCS,focs,A*,"Theory of computation, , ",Theory of computation,,
IEEE Symposium on High-Performance Interconnects,HOTI,hoti,National: USA,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE Symposium on Logic in Computer Science,LICS,lics,A*,"Theory of computation, , ",Theory of computation,,
IEEE Symposium on Security and Privacy,SP,sp,A*,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
IEEE Symposium on Visual Languages and Human-Centric Computing (was VL),VL/HCC,vl,B,"Human-centred computing, , ",Human-centred computing,,
IEEE Vehicular Technology Conference,VTC,vtc,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE Visualization,IEEE VIS,visualization,A,"Human-centred computing, , ",Human-centred computing,,
IEEE VLSI Test Symposium,VTS,vts,TBR,"CSE - Computer Systems Engineering, , ",CSE - Computer Systems Engineering,,
IEEE Wireless Communications and Networking Conference,WCNC,wcnc,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE Workshop on Applications of Computer Vision,WACV,wacv,A,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,
IEEE Workshop on High Performance Switching and Routing,HPSR,hpsr,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE/ACIS International Conference on Computer and Information Science,ICIS,ACISicis,C,"Information and Computing Sciences, , ",Information and Computing Sciences,,
IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining,ASONAM,asunam,B,"Data management and data science, Human-centred computing, Machine learning",Data management and data science,Human-centred computing,Machine learning
"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",BDCAT,bdc,C,"Machine learning, Data management and data science, Applied computing",Machine learning,Data management and data science,Applied computing
IEEE/ACM International Conference on Computer-Aided Design,ICCAD,iccad,A,"CSE - Computer Systems Engineering, Distributed computing and systems software, ",CSE - Computer Systems Engineering,Distributed computing and systems software,
IEEE/ACM International Symposium on Mixed and Augmented Reality,ISMAR,ismar,A*,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,
IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,dsn,A,"Distributed computing and systems software, CSE - Computer Systems Engineering, ",Distributed computing and systems software,CSE - Computer Systems Engineering,
IEEE/IFIP International Conference on Embedded and Ubiquitous Computing,EUC,euc,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IEEE/RSJ International Conference on Intelligent Robots and Systems,IROS,iros,A,"Artificial intelligence, CSE - Computer Systems Engineering, ",Artificial intelligence,CSE - Computer Systems Engineering,
IEEE/WIC/ACM International Conference on Web Intelligence (previously joint with Intelligent Agent Technology WI-IAT),WI,N/A,B,"Artificial intelligence, Data management and data science, ",Artificial intelligence,Data management and data science,
IFAC Conference on System Structure and Control,SSSC,N/A,C,"Software engineering, Distributed computing and systems software, ",Software engineering,Distributed computing and systems software,
"IFAC Symposium on Fault Detection, Supervision and Safety of Technical Processes",SAFEProcess,N/A,C,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
IFIP Information Security & Privacy Conference,IFIP SEC,sec,B,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
IFIP International Conference on Distributed Applications and Interoperable Systems,DAIS,dais,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IFIP International Conference on Network and Parallel Computing,NPC,npc,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IFIP International Conference on Networking,Networking,networking,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
"IFIP International Symposium on Computing Performance, Modelling, Measurement and Evaluation",PERFORMANCE,performance,Journal Published,"Software engineering, , ",Software engineering,,
"IFIP Joint International Conference on Formal Description Techniques and Protocol Specification, Testing, And Verification",FORTE,N/A,C,"Software engineering, , ",Software engineering,,
IFIP TC13 Conference on Human-Computer Interaction,Interact,interact,B,"Human-centred computing, , ",Human-centred computing,,
IFIP WG 11.3 Working Conference on Data and Applications Security (also known as DBSEC),DBSEC,dbsec,B,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
IFIP WG8.1 Working Conference on the Practice of Enterprise Modeling,PoEM,ifip8-1,unranked: not primarily CS,"Information and Computing Sciences, , ",Information and Computing Sciences,,
IFIP Working Conferences on Virtual Enterprises,PRO-VE,N/A,C,"Distributed computing and systems software, Applied computing, ",Distributed computing and systems software,Applied computing,
IFIP/IEEE International Conference on Performance Evaluation and Modeling in Wired and Wireless Networks,PEMWN,pemwn,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IFIP/IEEE International Symposium on Integrated Management (even years sharing with NOMS),IM,im,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
IFSA World Congress,IFSA,ifsa,C,"Artificial intelligence, , ",Artificial intelligence,,
IMA International Conference on Cryptography and Coding,IMACC,ima,C,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
Image and Vision Computing Conference,IVCNZ,ivcnz,Australasian C,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,
Indian Conference on Human-Computer Interaction,IndiaHCI,N/A,National: India,"Human-centred computing, , ",Human-centred computing,,
Inductive Logic Programming,ILP,ilp,B,"Theory of computation, , ",Theory of computation,,
Industrial Simulation Conference,ISC,N/A,C,"Artificial intelligence, Applied computing, ",Artificial intelligence,Applied computing,
Information Hiding and Multimedia Security Workshop,IH&MMSec,ih,C,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
Information Integration and Web-based Applications and Services,IIWAS,iiwas,C,"Information and Computing Sciences, Data management and data science, ",Information and Computing Sciences,Data management and data science,
Information Processing in Sensor Networks,IPSN,ipsn,A*,"Distributed computing and systems software, , ",Distributed computing and systems software,,
Information Security Practice and Experience Conference,ISPEC,ispec,C,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
Information Security Symposium,CERIAS,N/A,National: USA,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
Information Theory Workshop,ITW,itw,B,"Theory of computation, , ",Theory of computation,,
Information Visualisation Theory and Practice,InfVis,N/A,C,"Human-centred computing, , ",Human-centred computing,,
Information Visualization in Biomedical Informatics,IVBI,N/A,C,"Applied computing, Human-centred computing, ",Applied computing,Human-centred computing,
Informing Science and Information Technology Education,InSITE,N/A,C,"Human-centred computing, , ",Human-centred computing,,
Innovations in Theoretical Computer Science,ITCS,innovations,A,"Theory of computation, , ",Theory of computation,,
Innovative Applications in AI,IAAI,N/A,C,"Artificial intelligence, Applied computing, ",Artificial intelligence,Applied computing,
Int. Workshop on Formal Methods for Industrial Critical Systems,FMICS,fmics,C,"Software engineering, , ",Software engineering,,
Integrated Formal Methods,IFM,ifm,B,"Software engineering, Theory of computation, ",Software engineering,Theory of computation,
Intelligent Data Analysis,IDA,ida,B,"Data management and data science, Machine learning, ",Data management and data science,Machine learning,
Intelligent Distributed Computing,IDC,idc,Unranked,"Distributed computing and systems software, , ",Distributed computing and systems software,,
Intelligent Systems in Molecular Biology,ISMB,ismb,journal published,"Applied computing, , ",Applied computing,,
Intelligent Vehicles Conference,IEEE-IV,ivs,B,"Artificial intelligence, , ",Artificial intelligence,,
Intelligent Virtual Agents,IVA,iva,B,"Artificial intelligence, Human-centred computing, ",Artificial intelligence,Human-centred computing,
Intenational Environmental Modelling and Software Society,iEMSs,N/A,C,"Applied computing, , ",Applied computing,,
Interactive Entertainment,IE,N/A,Australasian C,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,
International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS,assets,A,"Human-centred computing, , ",Human-centred computing,,
International Baltic Conference on Databases and Information Systems,DB&IS,balt,Regional - Baltic,"Data management and data science, , ",Data management and data science,,
International Colloquium on Automata Languages and Programming,ICALP,icalp,A,"Theory of computation, , ",Theory of computation,,
International Colloquium on Structural Information and Communication Complexity,SIROCCO,sirocco,B,"Theory of computation, , ",Theory of computation,,
International Colloquium on Theoretical Aspects of Computing,ICTAC,ictac,C,"Theory of computation, , ",Theory of computation,,
International Computer Science Symposium in Russia,CSR,csr,National: Russia,"Information and Computing Sciences, , ",Information and Computing Sciences,,
International Computer Software and Applications Conference,COMPSAC,compsac,B,"Applied computing, , ",Applied computing,,
International Computing Education Research Workshop,ICER,icer,A,"Human-centred computing, , ",Human-centred computing,,
"International Conference Abstract State Machines, Alloy, B, TLA, VDM, and Z (Previously International Conference of B and Z Users, ZB, changed in 2008)",ABZ,zum,C,"Software engineering, Theory of computation, ",Software engineering,Theory of computation,
International Conference and Exhibition on High Performance Computing in the Asia-Pacific Region,HPC Asia,hpcasia,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
International Conference and Workshops on Algorithms and Computation,WALCOM,walcom,B,"Theory of computation, , ",Theory of computation,,
"International Conference for High Performance Computing, Networking, Storage and Analysis (was Supercomputing Conference)",SC,sc,A,"CSE - Computer Systems Engineering, Distributed computing and systems software, ",CSE - Computer Systems Engineering,Distributed computing and systems software,
International Conference Formal Concept Analysis Conference,ICFCA,icfca,C,"Theory of computation, , ",Theory of computation,,
International Conference in Business Process Management,BPM,bpm,A,"Software engineering, , ",Software engineering,,
International Conference in Methodologies and Intelligent Systems for Technology Enhanced Learning,MIS4TEL,mis4tel,National: Spain,"Applied computing, Human-centred computing, Artificial intelligence",Applied computing,Human-centred computing,Artificial intelligence
International Conference of the Immersive Learning Research Network,iLRN,ilrn,C,"Applied computing, Human-centred computing, ",Applied computing,Human-centred computing,
International Conference on Advanced and Trusted Computing (was International Conference on Autonomic and Trusted Computing),ATC,atc,C,"Cybersecurity and privacy, Distributed computing and systems software, Data management and data science",Cybersecurity and privacy,Distributed computing and systems software,Data management and data science
International Conference on Advanced Computing and Communications,AdCom,N/A,National: India,"Distributed computing and systems software, , ",Distributed computing and systems software,,
International Conference on Advanced Data Mining and Applications,ADMA,adma,C,"Data management and data science, Machine learning, ",Data management and data science,Machine learning,
International Conference on Advanced Information Networking and Applications (was ICOIN),AINA,aina,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,
International Conference on Advanced Information Systems Engineering,CaiSE,caise,A,"Data management and data science, , ",Data management and data science,,
International Conference on Advanced Technologies For Signal & Image Processing,ATSIP,atsip,National: Tunisia,"Computer vision and multimedia computation, Data management and data science, ",Computer vision and multimedia computation,Data management and data science,
International Conference on Advances in Computer-Human Interactions,ACHI,N/A,C,"Human-centred computing, , ",Human-centred computing,,
International Conference on Advances in Mobile Computing and Multimedia,MOMM,momm,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
International Conference on Affective Computing and Intelligent,ACII,acii,C,"Human-centred computing, , ",Human-centred computing,,
International Conference on Agents and Artificial Intelligence,ICAART,icaart,B,"Artificial intelligence, , ",Artificial intelligence,,
International Conference on Algorithms and Architectures for Parallel Processing,ICA3PP,ica3pp,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
International Conference on Algorithms and Complexity (was Italian Conference ),CIAC,ciac,C,"Theory of computation, , ",Theory of computation,,
"International Conference on Analysis of Images, Social Networks and Texts",AIST,aist,National: Russia,"Artificial intelligence, Computer vision and multimedia computation, Data management and data science",Artificial intelligence,Computer vision and multimedia computation,Data management and data science
International Conference on Applications of Evolutionary Computation,EvoApplications,evoW/evoappl2019.html,B,"Artificial intelligence, Machine learning, Applied computing",Artificial intelligence,Machine learning,Applied computing
International Conference on Applied Cryptography and Network Security,ACNS,acns,B,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
International Conference on Artificial Intelligence,IC-AI,N/A,National: USA,"Artificial intelligence, Machine learning, ",Artificial intelligence,Machine learning,
International Conference on Artificial Intelligence and Law,ICAIL,icail,C,"Artificial intelligence, Applied computing, ",Artificial intelligence,Applied computing,
International Conference on Artificial Intelligence and Soft Computing,ICAISC,icaisc,National: Poland,"Artificial intelligence, , ",Artificial intelligence,,
International Conference on Artificial Intelligence and Statistics,AISTATS,aistats,A,"Machine learning, Artificial intelligence, ",Machine learning,Artificial intelligence,
International Conference on Artificial Intelligence in Education,AIED,aied,A,"Applied computing, Human-centred computing, ",Applied computing,Human-centred computing,
International Conference on Artificial Intelligence in Medicine,AIME,aime,B,"Applied computing, , ",Applied computing,,
"International Conference on Artificial Intelligence in Music, Sound, Art and Design",EvoMUSART,evomusart/,C,"Artificial intelligence, Graphics, augmented reality and games, Human-centred computing",Artificial intelligence,"Graphics, augmented reality and games",Human-centred computing
"International Conference on Artificial Intelligence: Methodology, Systems, Applications",AIMSA,aimsa,National: Bulgaria,"Artificial intelligence, Machine learning, ",Artificial intelligence,Machine learning,
International Conference on Artificial Neural Networks,ICANN,icann,C,"Machine learning, , ",Machine learning,,
International Conference on Artificial Reality and Telexistance & Eurographics Symposium on Virtual Environments,EGVE,egve,C,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,
International Conference on Automated Deduction,CADE,cade,A,"Artificial intelligence, , ",Artificial intelligence,,
International Conference on Automated Planning and Scheduling,ICAPS,icaps,A*,"Artificial intelligence, , ",Artificial intelligence,,
"International Conference on Availability, Reliability and Security",ARES,IEEEares,B,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
