Title,Acronym,DblpSeries,has CORE2008 Rank,Field,field_of_research_1,field_of_research_2,field_of_research_3
Symposium on Assessment of Quality S/W Dev Tools,AQSDT,N/A,C,", , ",,,
National Conference of the Australian Robot Association,ARA,N/A,B,", , ",,,
"International Conference on Availability, Reliability and Security",ARES,IEEEares,B,", , ",,,
Australasian Remote Sensing Conference,ARSC,N/A,L,", , ",,,
Active and Real-Time Database Systems,ARTDB,N/A,C,", , ",,,
Advanced Research in VLSI,ARVLSI,N/A,C,", , ",,,
Chicago ASA Data Mining Conference- A Hard Look at DM,ASADM,N/A,B,", , ",,,
"International Conference on Application-specific Systems, Architectures and Processors",ASAP,asap,A,", , ",,,
IASTED International Conference on Artificial Intelligence and Soft Computing,ASC,N/A,C,", , ",,,
Annual Conference of the Australasian Society for Computers in Learning in Tertiary Education,ASCILITE,N/A,L,", , ",,,
Asia and South Pacific Design Automation Conference,ASPDAC,aspdac,L,", , ",,,
Automated Software Engineering Conference,ASE,kbse,A,", , ",,,
International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,asiacrypt,A,", , ",,,
Asian Computing Science Conference,ASIAN,N/A,B,", , ",,,
Annual conference of American Society for Information Science and Technology,ASIS&T,N/A,A,", , ",,,
Australian Symposium on Information Visualisation,ASIV,N/A,L,", , ",,,
IASTED International Conference on Applied Simulation and Modelling,ASM,N/A,C,", , ",,,
National Conference of The Australian Society for Operations Research,ASOR,N/A,L,", , ",,,
Architectural Support for Programming Languages and Operating Systems,ASPLOS,asplos,A*,", , ",,,
Australian Software Engineering Conference,ASWEC,aswec,B,", , ",,,
International Telecommunication Networks and Applications Conference (was Australian Telecommunication Networks and Applications Conference),ITNAC,itnac,L,", , ",,,
International Symposium on Automated Technology for Verification and Analysis,ATVA,atva,A,", , ",,,
Apple University Consortium Academic and Developers Conference,AUCADC,N/A,L,", , ",,,
Australasian Cognitive Science Society Conference,AuCSS,N/A,L,", , ",,,
Australasian User Interface Conference,AUIC,N/A,B,", , ",,,
Australasian Urban and Regional Information Systems Association Conference,AURISA,N/A,L,", , ",,,
Australasian Refinement Workshop,AuRW,N/A,L,", , ",,,
Australian Joint Conference on Artificial Intelligence,AusAI,ausai,B,", , ",,,
Australian Data Mining Conference,AusDM,ausdm,B,", , ",,,
Australian World Wide Web Conference,AusWeb,N/A,L,", , ",,,
Australian Women in IT Conference,AusWIT,N/A,B,", , ",,,
Australian UNIX Users Group National Conference,AUUG,N/A,L,", , ",,,
IEEE International Conference on Advanced Video and Signal Based Surveillance,AVSS,avss,A,", , ",,,
Australasian Workshop on Combinatorial Algorithms,AWOCA,N/A,L,", , ",,,
Australian Workshop on Requirements Engineering,AWRE,N/A,B,", , ",,,
Australian Workshop on Software Architecture,AWSA,N/A,L,", , ",,,
Argentine Workshop on Theoretical Informatics,AWTI,N/A,B,", , ",,,
IEEE/IFIP International Conference on Information Technology for Balanced Automation Systems,BASYS,N/A,B,", , ",,,
IFIP International Conference on Broadband Communications,BC,N/A,C,", , ",,,
British Computer Society Formal Aspects of Computing Science Specialist Group Workshop,BCS-FMW,N/A,L,", , ",,,
Bled Electronic Commerce Conference,BECC,N/A,C,", , ",,,
IEEE Bioinformatics and Bioengineering,BIBE,bibe,C,", , ",,,
British Machine Vision Conference,BMVC,bmvc,A,", , ",,,
British National Conference on Databases,BNCOD,N/A,B,", , ",,,
International Conference in Business Process Management,BPM,bpm,A,", , ",,,
"International Conference on Broadband Communications, Networks and Systems",Broadnets,broadnets,B,", , ",,,
Association for Computer-Aided Architectural Design Research in Asia (CAADRIA) annual conference,CAADRIA,N/A,C,", , ",,,
Canadian Artificial Intelligence Conference,CAAI,N/A,B,", , ",,,
Workshop on Combinatorial and Algorithmic Aspects of Networking,CAAN,N/A,B,", , ",,,
IEEE/IFAC Joint Symposium on Intelligent Control,CACSD,N/A,B,", , ",,,
International Conference on Automated Deduction,CADE,cade,A,", , ",,,
Conference on Artificial Intelligence for Applications,CAIA,N/A,B,", , ",,,
ISCA International Conference on Computer Applications in Industry and Engineering,CAINE,N/A,C,", , ",,,
International Conference on Computer Analysis of Images and Patterns,CAIP,caip,A,", , ",,,
International Conference on Advanced Information Systems Engineering,CaiSE,caise,A,", , ",,,
Canadian Discrete and Algorithmic Mathematics Conference,CanaDAM,N/A,L,", , ",,,
"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",CASES,cases,A,", , ",,,
International Conference on Computers and their Applications,CATA,cata,C,", , ",,,
IASTED International Conference on Computers and Advanced Technology in Education,CATE,N/A,C,", , ",,,
Computing: The Australasian Theory Symposium,CATS,N/A,B,", , ",,,
Computer Aided Verification,CAV,cav,A*,", , ",,,
International Symposium Component-Based Software Engineering,CBSE,N/A,A,", , ",,,
International Conference on Compiler Construction,CC,cc,A,", , ",,,
IEEE International Conference on Control Applications,CCA,N/A,B,", , ",,,
Canadian Conference on Computational Geometry,CCCG,N/A,B,", , ",,,
"IEEE International Symposium on Cluster, Cloud and Grid Computing",CCGRID,ccgrid,A,", , ",,,
International Command and Control Research and Technology Symposium,CCRTS,N/A,C,", , ",,,
ACM Conference on Computer and Communications Security,CCS,ccs,A*,", , ",,,
"Intelligent Multimedia, Computing and Communications Technologies and Applications of the Future",CCTAF,N/A,C,", , ",,,
IEEE Computer Communications Workshop,CCW,N/A,B,", , ",,,
IFIP/ACM Working Conference on Component Deployment,CD,N/A,B,", , ",,,
Constraint Databases and Applications,CDB,N/A,C,", , ",,,
IEEE Conference on Decision and Control,CDC,cdc,A,", , ",,,
International Conference on Email and Anti-Spam,CEAS,N/A,B,", , ",,,
"IEEE Conference on Electronic Commerce Technology and Enterprise Computing, e_Commerce and e-Services",CBI (was CEC/EEE),N/A,B,", , ",,,
Computing in Education Group of Victoria Conference,CEG,N/A,L,", , ",,,
Workshop on Computational Geometry and Applications,CGA,N/A,B,", , ",,,
Computer Graphics International,CGI,cgi,A,", , ",,,
International Symposium on Code Generation and Optimization,CGO,cgo,A,", , ",,,
Workshop on Cryptographic Hardware and Embedded Systems,CHES,ches,B,", , ",,,
International Conference on Human Factors in Computing Systems,CHI,chi,A*,", , ",,,
International Conference on Implementation and Application of Automata,CIAA,wia,B,", , ",,,
International Conference on Algorithms and Complexity (was Italian Conference ),CIAC,ciac,B,", , ",,,
International Conference on Intelligent Text Processing and Computational Linguistics,CICLING,cicling,B,", , ",,,
Conference on Innovative Data Systems Research,CIDR,cidr,A,", , ",,,
Conference of the Commission Internationale pour l'Etude et l'Amelioration de l'Enseignement des Mathematiques,CIEAEM,N/A,C,", , ",,,
ACM International Conference on Information and Knowledge Management,CIKM,cikm,A,", , ",,,
"International Conference on Computational Intelligence for Modelling, Control and Automation",CIMCA,N/A,C,", , ",,,
International Symposium on Circuits and Systems,CIRSYS,N/A,C,", , ",,,
"International Conference Imaging Science, Systems and Technology",CISST,N/A,C,", , ",,,
"Conference on Information Science, Technology and Management",CISTM,N/A,B,", , ",,,
Complexity and information-theoretic approaches to biology,CITB,N/A,B,", , ",,,
IEEE International Conference on Cluster Computing,CLUSTER,cluster,A,", , ",,,
Conference on Combinatorial Optimization and Applications,COCOA,cocoa,B,", , ",,,
International Conference on Computing and Combinatorics,COCOON,cocoon,A,", , ",,,
International Symposium on Cooperative Database Systems for Advanced Applications,CODAS,N/A,C,", , ",,,
Annual Meeting of the Cognitive Science Society,CogSci,cogsci,A,", , ",,,
International Conference on Computational Linguistics,COLING,coling,A,", , ",,,
Collaborative Electronic Commerce Technology and Research,CollECTeR,N/A,C,", , ",,,
Conference on Learning Theory,COLT,colt,A*,", , ",,,
International Conference on Management of Data,COMAD,comad,B,", , ",,,
Symposium on Logical Formalizations of Commonsense Reasoning,COMMONSENSE,N/A,B,", , ",,,
International Symposium on Computer Design,COMPDES,N/A,C,", , ",,,
International Symposium on Computational Life Science,CompLife,N/A,B,", , ",,,
International Computer Software and Applications Conference,COMPSAC,compsac,B,", , ",,,
Australasian Compumod Users' Conference,COMPUMOD,N/A,L,", , ",,,
International Conference on Communication System Software and Middleware,COMSWARE,N/A,C,", , ",,,
International Conference on Concurrency Theory,CONCUR,concur,A,", , ",,,
Conference on Computational Natural Language Learning,CoNLL,conll,A,", , ",,,
International Conference on Cooperative Information Systems,CoopIS,N/A,A,", , ",,,
International Conference on Coordination Models and Languages,Coordination,coordination,A,", , ",,,
International Conference on Principles and Practice of Constraint Programming,CP,cp,A,", , ",,,
International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,CPAIOR,cpaior,A,", , ",,,
Constraint Programming Day,CPD,N/A,C,", , ",,,
Combinatorial Pattern Matching,CPM,cpm,B,", , ",,,
Cryptography Policy and Algorithms Conference,CryPAC,N/A,C,", , ",,,
Advances in Cryptology,CRYPTO,crypto,A*,", , ",,,
IEEE Computational Systems Bioinformatics Conference,CSB,N/A,A,", , ",,,
Computer Supported Collaborative Learning,CSCL,cscl,A*,", , ",,,
ACM Conference on Computer Supported Cooperative Work,CSCW,cscw,A,", , ",,,
IEEE Computer Security Foundations Workshop,CSFW,N/A,A,", , ",,,
International CSI Computer Conference,CSICC,N/A,C,", , ",,,
Annual Conference on Computer Science Logic,CSL,csl,B,", , ",,,
International Computer Science Symposium in Russia,CSR,csr,L,", , ",,,
Computational Techniques and Applications Conference,CTAC,N/A,C,", , ",,,
IEEE Conference on Computer Vision and Pattern Recognition,CVPR,cvpr,A,", , ",,,
International Conference on Complex Systems,CxS,N/A,C,", , ",,,
Design Automation Conf,DAC,dac,A,", , ",,,
Digital Audio Effects Conference,DAFX,dafx,B,", , ",,,
IFIP International Conference on Distributed Applications and Interoperable Systems,DAIS,dais,B,", , ",,,
International Workshop on Document Analysis Systems,DAS,das,A,", , ",,,
"Symposium on Design, Analysis, and Simulation of Distributed Systems",DASD,N/A,C,", , ",,,
Data Semantics in Web Information Systems,DASWIS,N/A,C,", , ",,,
"Design, Automation and Test in Europe Conference",DATE,date,A,", , ",,,
Data Warehousing and Knowledge Discovery,DaWaK,dawak,B,", , ",,,
International Baltic Conference on Databases and Information Systems,DB&IS,balt,B,", , ",,,
Database Programming Languages,DBPL,dbpl,C,", , ",,,
Data Compression Conference,DCC,dcc,A*,", , ",,,
IEEE International Conference on Distributed Computing in Sensor Systems,DCOSS,dcoss,B,", , ",,,
Distributed Communities on the Web Workshop,Dcw,N/A,C,", , ",,,
International Conference on Database and Expert Systems Applications,DEXA,dexa,A,", , ",,,
Australian Pattern Recognition Society Conference,DICTA,N/A,B,", , ",,,
Joint DICTA & IVCNZ,DICTA/IVCNZ,N/A,C,", , ",,,
Digital Games Research Conference,DIGRA,digra,A,", , ",,,
Designing Interactive Systems,DIS,ACMdis,A,", , ",,,
International Symposium on Distributed Computing (was WDAG),DISC,wdag,A,", , ",,,
Doing IT at Melbourne,DITAM,N/A,L,", , ",,,
Internationale Tagung Wirtschaftsinformatik,DITW,N/A,B,", , ",,,
Joint Australia and New Zealand Biennial Conference on Digital Image and Vision Computing,DIVC,N/A,L,", , ",,,
Developments in Language Theory,DLT,dlt,B,", , ",,,
Design and Management of Data Warehouses,DMDW,N/A,C,", , ",,,
Workshop on Research Issues in Data Mining and Knowledge Discovery,DMKD,N/A,C,", , ",,,
International Conference on Discrete Mathematics and Theoretical Computer Science,DMTCS,N/A,B,", , ",,,
DNA Computing and Molecular Programming,DNA,dna,B,", , ",,,
ACM Symposium on Document Engineering,DocEng,doceng,A,", , ",,,
International Workshop on Data Warehousing and OLAP,DOLAP,dolap,C,", , ",,,
Deductive and Object-Oriented Databases,DOOD,dood,A,", , ",,,
International Conference on Database Systems for Advanced Applications,DASFAA,dasfaa,C,", , ",,,
Annual Meeting of the Decision Sciences Institute,DSI,N/A,C,", , ",,,
Domain - Specific Languages for Software Engineering,DSLSE,N/A,C,", , ",,,
IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,dsn,A*,", , ",,,
International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010),CNSM,cnsm,B,", , ",,,
Distributed Simulation Symposium,DSS,N/A,B,", , ",,,
International Conference on Decision Support Through Knowledge Management,DSTKM,N/A,C,", , ",,,
Workshop on Database Technology for Virtual Enterprises,DTVE,N/A,C,", , ",,,
Design for User Experience,DUX,N/A,A,", , ",,,
Information Systems &Technologies /SPIE Conference on Digital Video Compression Algorithms & Techniques,DVAT,N/A,C,", , ",,,
International Workshop on Principles of Diagnosis,DX,N/A,B,", , ",,,
IEEE Dynamic Spectrum Access Networks,DYSPAN,N/A,B,", , ",,,
Engineering Applications of Artifical Intelligence,EAAI,N/A,A,", , ",,,
European Association for Computational Linguistics,EACL,eacl,A,", , ",,,
International Conference on Evaluation and Assessment in Software Engineering,EASE,ease,A,", , ",,,
ACM Conference on Economics and Computation,EC,sigecom,A,", , ",,,
European Conference on Artificial Intelligence,ECAI,ecai,A,", , ",,,
European Conference on Artificial Life,ECAL,N/A,B,", , ",,,
IEEE International Conference and Workshop on the Engineering of Computer Based Systems,ECBS,N/A,B,", , ",,,
European Conference on Computational Biology,ECCB,N/A,B,", , ",,,
European Conference on Computer Vision,ECCV,eccv,A,", , ",,,
International Conference on Theory and Practice of Digital Libraries (was ECDL until 2010),TPDL,ercimdl,A,", , ",,,
European Conference on Digital Government (was European Conference on e-Government ECEG),ECDG,N/A,B,", , ",,,
European Conference on Information Management and Evaluation,ECIME,N/A,B,", , ",,,
European Conference on Information Retrieval,ECIR,ecir,B,", , ",,,
European Conference on Information Systems,ECIS,ecis,A,", , ",,,
European Conference on Machine Learning (Joined with PKDD from 2008),ECML,N/A,A,", , ",,,
European Conference on Object-Oriented Programming,ECOOP,ecoop,A,", , ",,,
Euromicro Conference on Real-Time Systems,ECRTS,ecrts,A,", , ",,,
European Conference on Computer Supported Cooperative Work,ECSCW,ecscw,A,", , ",,,
International Conference on Electronic Commerce and Web Technology,ECWeb,N/A,A,", , ",,,
Extending Database Technology,EDBT,edbt,A,", , ",,,
"World Conference on Educational Multimedia, Hypermedia and Telecommunications",ED-MEDIA,N/A,B,", , ",,,
"IEEE International Conference on Enterprise Computing, E-Commerce and E-Services",EEE,N/A,B,", , ",,,
Engineering Federated Information (Database) Systems,EFIS/EFDBS,N/A,C,", , ",,,
Joint Meeting of the European Frequency and Time Forum and the Institute of Electrical and Electronics Engineers In,EFTF/IFCS,N/A,C,", , ",,,
European Grid Conference,EGC,N/A,B,", , ",,,
European Institute for Computer Anti-Virus Research EICAR Conference,EICAR,N/A,C,", , ",,,
International Conference on Knowledge Engineering and Knowledge Management,EKAW,ekaw,A,", , ",,,
European Conference on Knowledge Management,EKM,N/A,C,", , ",,,
The Annual International Conference of the IEEE Engineering in Medicine and Biology Society,EMBC,N/A,C,", , ",,,
"European, Mediterranean and Middle Eastern Conference on Information Systems",EMCIS,N/A,C,", , ",,,
Exploring Modelling Methods in Systems Analysis and Design,EMMSAD,emmsad,A,", , ",,,
Embedded Sensor Networks Workshop,Emnets,N/A,B,", , ",,,
Empirical Methods in Natural Language Processing,EMNLP,emnlp,A,", , ",,,
International Conference on Embedded Software,EMSOFT,emsoft,A,", , ",,,
Annual Conference on Evolutionary Programming,EP,N/A,C,", , ",,,
Portuguese Conference on Artificial Intelligence,EPIA,epia,B,", , ",,,
International Conference on Conceptual Modelling,ER,er,B,", , ",,,
ERCIM Annual Workshop on Constraint Solving and Constraint Logic Programming,ERCIM/CSCLP,N/A,B,", , ",,,
European Symposium on Algorithms,ESA,esa,A,", , ",,,
"Symposium On Combinatorics, Algorithms, Probabilistic and Experimental Methodologies",ESCAPE,N/A,C,", , ",,,
IEEE International Conference on e-Science and Grid Computing,e-Science,eScience,A,", , ",,,
International Symposium on Empirical Software Engineering and Measurement,ESEM,esem,A,", , ",,,
International Conference on Modelling and Simulation,ECMS,ecms,B,", , ",,,
European Symposium on Programming,ESOP,esop,A,", , ",,,
European Symposium On Research In Computer Security,ESORICS,esorics,A,", , ",,,
International Joint Conference on Qualitative and Quantitative Practical Reasoning,ESQARU,N/A,A,", , ",,,
European Simulation Symposium,ESS,N/A,B,", , ",,,
Extended Semantic Web Conference (was European Semantic Web Conference),ESWC,esws,A,", , ",,,
ETHICOMP Conference,ETHICOMP,N/A,C,", , ",,,
European Congress on Intelligent Techniques and Soft Computing,EUFIT,N/A,C,", , ",,,
European Workshop on Advanced Mobile Robots,EuroBot,N/A,C,", , ",,,
European Conference on Computational Learning Theory (Now in COLT),EuroCOLT,N/A,A,", , ",,,
International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,eurocrypt,A*,", , ",,,
European Conference on Genetic Programming,EUROGP,eurogp,B,", , ",,,
European Graphics Conference,EUROGRAPH,N/A,A,", , ",,,
International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),EuroPar,europar,A,", , ",,,
European MPI Users' Group Conference,EuroMPI,pvm,A,", , ",,,
Interspeech (combined EuroSpeech and ICSLP in 2000),Interspeech,interspeech,A,", , ",,,
European SPI,EuroSPI,eurospi,A,", , ",,,
Eurosys Conference,EuroSys,eurosys,A,", , ",,,
European Signal Processing Conference,EUSIPCO,eusipco,B,", , ",,,
European Workshop on Learning Robots,EWLR,N/A,B,", , ",,,
International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),EWSN,ewsn,A,", , ",,,
Fundamental Approaches to Software Engineering,FASE,fase,B,", , ",,,
A Satellite workshop on Formal Approaches to Testing of Software,FATES,N/A,C,", , ",,,
IEEE Symposium on Field Programmable Custom Computing Machines,FCCM,fccm,A,", , ",,,
French Conference on Knowledge Acquisition and Machine Learning,FCKAML,N/A,B,", , ",,,
International Symposium on Fundamentals of Computation Theory,FCT,fct,B,", , ",,,
International Conference on Formal Engineering Methods,ICFEM,icfem,B,", , ",,,
Far East Workshop on Future DB Systems,FEWFDB,N/A,B,", , ",,,
Frontiers in Education,FIE,fie,B,", , ",,,
FIRA Robot World Congress,FIRA,N/A,C,", , ",,,
Florida Artificial Intelligence Research Society Conference,FlAIRS,N/A,L,", , ",,,
International Symposium on Functional and Logic Programming,FLOPS,flops,A,", , ",,,
International Symposium on Formal Methods (was Formal Methods Europe FME),FM,fm,A,", , ",,,
Int. Workshop on Formal Methods for Industrial Critical Systems,FMICS,fmics,C,", , ",,,
International Conference on Formal Methods for Open Object-Based Distributed Systems,FMOOD,N/A,C,", , ",,,
Formal Methods Pacific,FMP,N/A,C,", , ",,,
Formal Methods in Software Engineering and Defence Systems Workshop,FMSEDS,N/A,C,", , ",,,
IEEE Symposium on Foundations of Computer Science,FOCS,focs,A*,", , ",,,
International Conference on Foundation on Data Organization,FODO,N/A,A,", , ",,,
Foundations of Genetic Algorithms,FOGA,foga,A*,", , ",,,
International Workshop on Foundations of Object-Oriented Languages,FOOL,N/A,C,", , ",,,
"IFIP Joint International Conference on Formal Description Techniques and Protocol Specification, Testing, And Verification",FORTE,N/A,A,", , ",,,
Foundations of Software Science and Computational Structures,FOSSACS,fossacs,B,", , ",,,
Formal Power Series and Algebraic Combinatorics,FPSAC,N/A,A,", , ",,,
Flexible Query-Answering Systems,FQAS,fqas,C,", , ",,,
"ACM International Conference on the Foundations of Software Engineering (was ESEC/FSE, changed 2024; duplicate previously listed as ESEC, removed from DB)",FSE,sigsoft,A,", , ",,,
International Conference on Field and Service Robotics,FSR,fsr,A,", , ",,,
Foundations of Software Technology and Theoretical Computer Science,FST&TCS,fsttcs,A,", , ",,,
Workshop on Formal Techniques for Java-like Programs,FTfJP,N/A,C,", , ",,,
International Workshops on First-Order Theorem Proving,FTP,N/A,B,", , ",,,
Formal Techniques in Real-Time and Fault Tolerant Systems,FTRTFT,N/A,B,", , ",,,
Conference on Fun with Algorithms,FUN,fun,B,", , ",,,
International Conference on Information Fusion,FUSION,fusion,C,", , ",,,
IEEE International Conference on Fuzzy Systems,FUZZ-IEEE,fuzzIEEE,A,", , ",,,
Global Chinese Conference on Computers in Education,GCCCE,N/A,L,", , ",,,
Graph Drawing,GD,gd,A,", , ",,,
Genetic and Evolutionary Computations,GECCO,gecco,B,", , ",,,
International Conference on GeoComputation,GeoComp,N/A,C,", , ",,,
IEEE Global Telecommunications Conference,GLOBECOM,globecom,B,", , ",,,
Geometry Modeling and Processing,GMP,N/A,B,", , ",,,
International Conference on Generative Programming and Component Engineering,GPCE,gpce,B,", , ",,,
IEEE/ACM International Conference on Grid Computing,GRID,N/A,A,", , ",,,
ACM Special Interest Group on Supporting Group Work (was SIGGRoup),Group,group,A,", , ",,,
IEEE International Symposium on High Assurance Systems Engineering,HASE,hase,B,", , ",,,
Haskell Workshop,HASKELL,haskell,C,", , ",,,
British Computer Society Conference on Human-Computer Interaction,HCI,N/A,C,", , ",,,
IEEE international conference on ehealth networking applications and services (was International Workshop on Enterprise Networking and Computing in Health Care Industry; changed 2006),HealthCom,healthcom,C,", , ",,,
Health Informatics Conference,HIC,N/A,C,", , ",,,
Hawaii International Conference on System Sciences,HICSS,hicss,B,", , ",,,
International Conference on High Performance Computing,HiPC,hipc,A,", , ",,,
International workshop on High-Level Parallel Programming and Applications,HLPP,N/A,C,", , ",,,
